AVInterval,DD_factor,DP_rule,throughput,avgFT,avgWIP
43,180,2,4,107.0,1.7633333333333334
34,148,2,5,112.6,2.3966666666666665
18,112,2,5,155.6,6.1866666666666665
44,195,1,4,105.5,1.72
24,112,1,5,133.6,3.9066666666666667
13,168,1,5,159.2,9.283333333333333
46,155,1,4,109.25,1.75
12,106,1,5,162.0,9.54
4,199,1,6,186.83333333333334,34.79
43,111,3,4,100.0,1.57
39,168,2,4,107.25,1.82
33,149,3,5,119.8,2.683333333333333
15,197,3,5,160.0,7.216666666666667
18,156,3,5,146.8,5.746666666666667
13,187,1,5,153.6,9.19
15,131,3,5,152.6,7.093333333333334
26,193,3,5,127.0,3.4166666666666665
11,176,1,5,163.6,11.196666666666667
4,108,3,5,170.6,34.123333333333335
17,111,1,5,151.2,6.26
12,192,3,5,155.6,9.433333333333334
20,188,1,5,140.6,4.743333333333333
12,162,3,5,156.2,9.443333333333333
15,150,2,5,154.4,7.123333333333333
15,120,2,5,149.8,7.046666666666667
9,193,3,5,164.8,14.086666666666666
27,104,1,5,127.0,3.466666666666667
28,103,1,5,132.6,3.41
24,120,3,5,133.6,3.9066666666666667
19,174,2,5,142.8,5.23
13,189,3,5,150.8,9.143333333333333
43,167,3,4,107.0,1.75
7,154,1,5,168.2,18.343333333333334
35,180,2,5,112.2,2.41
6,181,2,5,165.6,21.68
36,190,3,4,115.0,2.2533333333333334
8,169,2,5,168.8,16.04
34,135,1,5,114.2,2.3933333333333335
22,115,2,4,135.25,4.443333333333333
37,158,3,4,114.25,2.263333333333333
44,118,3,4,102.25,1.65
22,107,3,5,144.6,4.57
7,118,1,5,168.6,18.35
29,179,1,5,123.2,3.02
25,136,1,5,122.2,3.2866666666666666
39,183,1,4,106.75,1.8133333333333332
46,179,2,4,110.0,1.7533333333333334
14,116,1,5,162.0,8.3
13,131,1,5,161.8,9.326666666666666
48,166,1,3,100.0,1.48
39,152,2,4,106.75,1.8133333333333332
34,167,3,5,114.6,2.43
7,145,1,5,170.0,18.373333333333335
33,182,3,4,118.25,2.6766666666666667
12,150,1,5,160.2,9.51
37,182,3,4,116.25,2.29
6,120,2,6,179.33333333333334,21.64666666666667
28,141,3,5,123.4,3.256666666666667
17,184,3,5,149.4,6.23
24,128,2,5,129.2,3.8333333333333335
33,131,2,5,116.2,2.5966666666666667
23,125,2,5,141.4,4.503333333333333
44,144,1,4,109.0,1.7266666666666666
12,177,1,5,157.0,9.456666666666667
47,101,3,4,100.0,1.53
32,189,3,5,115.0,2.5566666666666666
